track_id,track_name,artist_name,year,genre,tempo,popularity,acousticness,danceability,energy,loudness
0sSRLXxknVTQDStgU1NqpY,Hours In Silence,"Drake, 21 Savage",2022,rap,118.352,75,0.234,0.501,0.403,-11.106
1Y5Jvi3eLi4Chwqch9GMem,Super Gremlin,Kodak Black,2022,rap,72.993,73,0.00265,0.825,0.414,-6.634
3wn8nOygkHLUQ9dlXM1rKW,Poppin,Yeat,2022,rap,74.521,75,0.262,0.705,0.613,-7.441
1TweDM3JC49LNeelLVg3yX,Used (feat. Don Toliver),SZA,2022,rap,149.579,76,0.532,0.734,0.689,-6.454
2Yt4SXIgmoaPZHGdRafp4P,Umbrella (with 21 Savage & Young Nudy),Metro Boomin,2022,rap,111.016,76,0.0838,0.822,0.788,-3.634
293mQGfVwgXIOdA1GpiwAt,Love & War,Kodak Black,2022,rap,145.09,74,0.58,0.762,0.649,-5.624
06JvOZ39sK8D8SqiqfaxDU,True Love,"Kanye West, XXXTENTACION",2022,rap,84.042,78,0.0182,0.712,0.861,-5.487
3zakx7RAwdkUQlOoQ7SJRt,"GRAVITY (FEAT. TYLER, THE CREATOR)",Brent Faiyaz,2022,rap,163.908,74,0.167,0.541,0.619,-8.746
2e2AXpIiJpet5b4qg85Gh6,F2F,SZA,2022,rap,89.934,75,0.089,0.533,0.74,-5.767
2i2qDe3dnTl6maUE31FO7c,Mad Max,"Only The Family, Lil Durk",2022,rap,149.988,74,0.0212,0.898,0.64,-8.796
2c2tlXfEmLgUNvxngIi1qL,DEAD MAN WALKING,Brent Faiyaz,2022,rap,143.984,74,0.303,0.51,0.272,-13.763
0wshkEEcJUQU33RSRBb5dv,BackOutsideBoyz,"Drake, 21 Savage",2022,rap,142.11,75,0.0407,0.849,0.433,-8.434
6ug9fUi5oLLgQgOF1G8WkM,California Breeze,Lil Baby,2022,rap,161.734,76,0.00361,0.738,0.666,-6.97
2z9iuAxKv4TTeCrPAxxKg9,Love Lost,Mac Miller,2022,rap,109.829,76,0.528,0.735,0.812,-4.417
29YW2xXlo6Pc6M0SBTCXYN,More M’s,"Drake, 21 Savage",2022,rap,82.537,74,0.0405,0.704,0.504,-6.749
6L4XGeAdRRC32vVJpp8MdM,Face 2 Face,Juice WRLD,2022,rap,155.997,75,0.0948,0.711,0.72,-4.532
2Sjx8DWZO5zaTyTAmgo2gY,Gone Girl,SZA,2022,rap,150.007,75,0.57,0.428,0.439,-7.674
3i6sCTU7ENlnHpHvrHUitW,Sometimes,Juice WRLD,2022,rap,121.987,73,0.0609,0.674,0.58,-4.866
6Ole34qqbgkZ60IyrcVm7e,Cooped Up / Return Of The Mack,"Post Malone, Mark Morrison, Sickick",2022,rap,95.485,75,0.01,0.727,0.839,-4.781
6BU1RZexmvJcBjgagVVt3M,Count Me Out,Kendrick Lamar,2022,rap,133.999,77,0.671,0.776,0.431,-7.544
4jTs7ny5eSRnKTzxdrFv5I,Smoking on my Ex Pack,SZA,2022,rap,81.227,74,0.241,0.466,0.676,-8.097
1hB3M3POeKMLxcEFEvPeqU,Already Dead,Juice WRLD,2022,rap,83.51,74,0.0216,0.744,0.495,-6.311
5Gt9bxniM1SxN61yRzRhXL,United In Grief,Kendrick Lamar,2022,rap,85.63,76,0.244,0.529,0.845,-8.142
01VzuxoBYMAJLObfU0w6dI,ADDICTIONS (FEAT. Tre' Amani),Brent Faiyaz,2022,rap,93.039,73,0.0209,0.889,0.489,-8.587
2VtgzixdB967bHDNu5A1nh,Metro Spider (with Young Thug),Metro Boomin,2022,rap,143.087,76,0.0411,0.709,0.734,-5.027
34ZAzO78a5DAVNrYIGWcPm,Shirt,SZA,2022,rap,119.959,76,0.146,0.824,0.453,-9.604
4fnNBPN9W6AoOYSQS3FJxT,Notice Me,SZA,2022,rap,159.919,74,0.275,0.724,0.68,-6.822
7Fege3yv4dvehB3NdRBGwI,Banking On Me,Gunna,2022,rap,135.143,73,0.613,0.793,0.308,-10.414
